(56, 6, 51, 3, 0)
(53, 6, 49, 79, 79)
(55, 5, 49, 46, 73)
(55, 5, 50, 51, 81)
(55, 5, 50, 85, 83)
(55, 5, 50, 79, 81)
(55, 5, 50, 80, 82)
(55, 5, 50, 82, 83)
(55, 6, 50, 74, 77)
(55, 5, 50, 80, 81)
(56, 3, 52, 78, 77)
(55, 5, 51, 79, 80)
(55, 5, 50, 79, 75)
(55, 4, 51, 86, 79)
(55, 4, 51, 76, 83)
(56, 5, 52, 79, 76)
(55, 5, 52, 83, 87)
(54, 6, 52, 79, 84)
(54, 6, 52, 81, 79)
(54, 9, 52, 77, 78)
(54, 12, 52, 80, 82)
(53, 16, 52, 81, 81)
(54, 24, 50, 81, 79)
(55, 33, 46, 76, 79)
(54, 38, 39, 48, 81)
(54, 41, 34, 54, 83)
(53, 46, 28, 52, 77)
(53, 48, 22, 54, 81)
(53, 49, 22, 14, 77)
(53, 42, 30, 0, 75)
(53, 39, 33, 62, 85)
(53, 43, 29, 47, 75)
(53, 47, 25, 49, 82)
(53, 49, 22, 48, 79)
(54, 49, 24, 15, 75)
(55, 44, 31, 0, 83)
(54, 41, 34, 60, 80)
(54, 42, 31, 50, 80)
(55, 44, 27, 50, 79)
(55, 46, 19, 50, 82)
(55, 42, 14, 15, 78)
(55, 32, 9, 0, 81)
(55, 21, 5, 7, 83)
(56, 12, 4, -38, 77)
(56, 6, 2, -34, 82)
(55, 5, 5, -43, 79)
(55, 5, 4, -50, 80)
(55, 5, 4, -52, 80)
(51, 5, 4, -52, 75)
(33, 4, 4, -51, 85)
(10, 3, 5, -54, 82)
(8, 3, 6, 82, -44)
(8, 2, 4, 62, -37)
(25, 5, 4, 74, -48)
(35, 5, 4, -44, 77)
(26, 5, 4, -38, 71)
(15, 6, 4, -43, 85)
(15, 5, 4, 76, -46)
(20, 6, 3, 59, -34)
(27, 6, 5, 79, -53)
(39, 6, 6, -25, 83)
(40, 9, 7, -42, 71)
(40, 13, 7, -43, 82)
(42, 16, 3, -48, 79)
(46, 13, 2, -44, 77)
(51, 12, 3, -51, 78)
(53, 10, 6, -50, 80)
(53, 6, 14, -52, 80)
(53, 4, 28, -52, 77)
(54, 3, 35, 43, 78)
(53, 6, 36, 44, 81)
(53, 8, 29, 50, 82)
(53, 15, 21, 50, 80)
(53, 18, 20, -60, 75)
(52, 14, 28, -27, 79)
(51, 13, 32, 28, 74)
(50, 13, 33, 42, 75)
(50, 19, 29, 50, 86)
(50, 26, 23, 47, 84)
(50, 30, 22, 16, 72)
(51, 28, 27, 0, 85)
(52, 30, 28, 57, 84)
(54, 39, 24, 49, 75)
(55, 42, 23, 9, 77)
(55, 37, 30, 0, 84)
(54, 37, 31, 59, 86)
(55, 44, 27, 48, 83)
(55, 49, 24, 49, 81)
(55, 50, 24, 14, 77)
(56, 45, 32, 2, 76)
(56, 43, 36, 57, 83)
(56, 46, 34, 49, 79)
(56, 49, 31, 51, 80)
(56, 52, 28, 49, 84)
(56, 54, 26, 49, 75)
(57, 55, 24, 52, 85)
(58, 55, 27, 10, 72)
(57, 51, 34, 56, 87)
(56, 52, 32, 50, 82)
(56, 53, 31, 48, 81)
(56, 54, 31, 49, 83)
(57, 55, 30, 49, 81)
(57, 54, 30, 49, 80)
(56, 55, 28, 53, 80)
(56, 55, 27, 51, 73)
(57, 55, 27, 52, 83)
(56, 54, 28, 49, 79)
(56, 54, 30, 49, 78)
(56, 53, 32, 48, 77)
(55, 51, 34, 50, 74)
(56, 53, 33, 51, 81)
(56, 51, 35, 53, 78)
(56, 50, 37, 48, 76)
(55, 48, 37, 48, 79)
(54, 46, 36, 53, 85)
(54, 45, 31, 50, 77)
(55, 44, 20, 50, 83)
(55, 39, 12, 8, 78)
(56, 27, 10, 2, 89)
(55, 12, 7, 6, 81)
(54, 6, 7, -7, 82)
(55, 5, 7, -50, 78)
(55, 5, 13, -39, 80)
(54, 5, 22, -44, 77)
(52, 5, 33, -54, 80)
(49, 5, 37, 46, 83)
(51, 5, 35, 43, 73)
(53, 5, 27, 47, 82)
(53, 7, 19, 45, 83)
(54, 10, 18, -41, 80)
(53, 8, 24, -37, 81)
(54, 6, 38, -42, 78)
(54, 6, 43, 38, 80)
(54, 6, 45, 43, 80)
(54, 7, 42, 45, 80)
(53, 11, 37, 48, 84)
(53, 17, 31, 51, 80)
(53, 25, 24, 51, 79)
(53, 34, 20, 50, 77)
(53, 35, 21, 4, 79)
(52, 30, 26, 3, 79)
(52, 32, 27, 59, 80)
(52, 39, 22, 50, 83)
(52, 41, 23, 17, 73)
(52, 35, 30, 0, 77)
(51, 34, 33, 54, 84)
(51, 38, 31, 46, 83)
(52, 42, 28, 49, 77)
(52, 45, 26, 45, 80)
(52, 48, 22, 53, 81)
(53, 49, 23, 12, 74)
(53, 43, 35, 0, 80)
(53, 40, 37, 55, 89)
(52, 41, 36, 50, 83)
(52, 43, 34, 48, 86)
(53, 44, 35, 51, 79)
(53, 44, 34, 51, 80)
(53, 46, 34, 49, 79)
(53, 45, 34, 49, 80)
(53, 46, 29, 51, 79)
(53, 45, 21, 49, 82)
(53, 36, 14, 13, 78)
(52, 19, 8, 0, 79)
(45, 8, 6, -49, 82)
(27, 5, 5, -32, 80)
(10, 5, 5, -50, 81)
(7, 5, 6, 66, -45)
(6, 5, 4, 53, -35)
(9, 5, 4, 70, -51)
(15, 4, 4, 76, -52)
(22, 6, 5, 79, -47)
(36, 5, 4, 87, -52)
(44, 5, 4, -20, 74)
(39, 5, 5, -41, 70)
(17, 5, 6, -40, 74)
(8, 6, 8, 77, -27)
(8, 5, 8, 57, -37)
(15, 5, 8, 74, -48)
(36, 5, 5, 78, -53)
(45, 5, 4, -37, 81)
(38, 5, 5, -42, 70)
(19, 5, 8, -45, 85)
(9, 6, 10, 82, -40)
(13, 7, 7, 68, -38)
(31, 6, 4, 70, -52)
